Greedy, UCT, KthBestPick, Random,,,Greedy,UCT,KthBestPick,Random
6515,6510,6432,4568,,,442,352,354,374
6828,6892,6813,4852,,,313,382,381,284
7270,7332,7096,5054,,,442,440,283,202
7699,7648,7524,5224,,,429,316,428,170
8001,8090,7938,5409,,,302,442,414,185
8381,8532,8316,5679,,,380,442,378,270
8809,8874,8745,5933,,,428,342,429,254
9140,9262,9187,6087,,,331,388,442,154
Starting Round 15,,,,,,,,,
447,362,357,376,,,447,362,357,376
877,707,771,664,,,430,345,414,288
1264,1152,1167,930,,,387,445,396,266
1620,1597,1593,1199,,,356,445,426,269
1988,1989,2021,1522,,,368,392,428,323
2338,2375,2469,1811,,,350,386,448,289
2766,2786,2904,2038,,,428,411,435,227
3181,3248,3245,2299,,,415,462,341,261
3577,3706,3601,2559,,,396,458,356,260
3960,4147,4029,2791,,,383,441,428,232
4322,4587,4466,3028,,,362,440,437,237
4763,4961,4900,3312,,,441,374,434,284
5160,5339,5353,3518,,,397,378,453,206
5557,5776,5712,3724,,,397,437,359,206
5922,6197,6146,3950,,,365,421,434,226
6321,6644,6520,4192,,,399,447,374,242
6689,7088,6970,4343,,,368,444,450,151
7139,7433,7408,4582,,,450,345,438,239
7477,7867,7820,4815,,,338,434,412,233
7855,8219,8227,5024,,,378,352,407,209
8223,8630,8620,5411,,,368,411,393,387
8595,9004,9025,5587,,,372,374,405,176
8962,9394,9348,5795,,,367,390,323,208
9367,9779,9640,5931,,,405,385,292,136
Starting Round 16,,,,,,,,,
351,405,455,205,,,351,405,455,205
709,817,872,487,,,358,412,417,282
1085,1203,1277,788,,,376,386,405,301
1502,1542,1680,987,,,417,339,403,199
1919,1950,2047,1233,,,417,408,367,246
2317,2355,2451,1467,,,398,405,404,234
2705,2699,2840,1815,,,388,344,389,348
3093,2987,3251,2039,,,388,288,411,224
3416,3373,3618,2257,,,323,386,367,218
3788,3759,3958,2439,,,372,386,340,182
4111,4153,4316,2663,,,323,394,358,224
4449,4480,4720,2855,,,338,327,404,192
4837,4844,5109,3155,,,388,364,389,300
5225,5161,5559,3403,,,388,317,450,248
5568,5547,6014,3698,,,343,386,455,295
5953,5951,6331,4035,,,385,404,317,337
6342,6321,6689,4199,,,389,370,358,164
6676,6735,7093,4537,,,334,414,404,338
7014,7189,7413,4770,,,338,454,320,233
7369,7539,7813,4961,,,355,350,400,191
7725,7893,8266,5239,,,356,354,453,278
8173,8237,8593,5492,,,448,344,327,253
8626,8600,8993,5633,,,453,363,400,141
8956,9005,9396,5865,,,330,405,403,232
Starting Round 17,,,,,,,,,
422,358,382,149,,,422,358,382,149
817,703,777,415,,,395,345,395,266
1171,1119,1140,639,,,354,416,363,224
1566,1520,1522,842,,,395,401,382,203
1930,1867,1934,1119,,,364,347,412,277
2312,2286,2345,1282,,,382,419,411,163
2724,2651,2627,1573,,,412,365,282,291
3097,2985,3012,1755,,,373,334,385,182
3435,3399,3407,1917,,,338,414,395,162
3795,3800,3752,2175,,,360,401,345,258
4160,4145,4184,2490,,,365,345,432,315
4504,4506,4622,2752,,,344,361,438,262
4912,4862,4925,2962,,,408,356,303,210
5316,5187,5249,3171,,,404,325,324,209
5625,5587,5584,3478,,,309,400,335,307
5953,5973,5856,3724,,,328,386,272,246
6328,6294,6265,4003,,,375,321,409,279
6594,6643,6703,4222,,,266,349,438,219
7024,6984,6976,4448,,,430,341,273,226
7416,7325,7329,4738,,,392,341,353,290
7723,7723,7686,4898,,,307,398,357,160
8064,8153,8027,5180,,,341,430,341,282
8414,8502,8452,5400,,,350,349,425,220
8710,8852,8882,5629,,,296,350,430,229
Starting Round 18,,,,,,,,,
394,383,407,184,,,394,383,407,184
787,786,815,393,,,393,403,408,209
1128,1171,1167,695,,,341,385,352,302
1521,1538,1572,937,,,393,367,405,242
1914,1945,1969,1262,,,393,407,397,325
2303,2337,2367,1441,,,389,392,398,179
2669,2740,2702,1730,,,366,403,335,289
3048,3083,3105,1986,,,379,343,403,256
3392,3483,3513,2304,,,344,400,408,318
3800,3868,3908,2589,,,408,385,395,285
4193,4267,4284,2908,,,393,399,376,319
4545,4675,4669,3154,,,352,408,385,246
4922,5061,5002,3443,,,377,386,333,289
5310,5425,5407,3757,,,388,364,405,314
5674,5813,5759,3982,,,364,388,352,225
