Greedy, UCT, KthBestPick, Random
27780, 27760, 28389, 17342
Starting Round 12
1209, 1122, 1155, 717
2428, 2212, 2327, 1295
3511, 3502, 3439, 1940
4684, 4674, 4600, 2607
5808, 5739, 5864, 3214
6868, 6910, 7143, 3887
8096, 8055, 8183, 4500
9351, 9127, 9272, 5190
10446, 10359, 10447, 5885
11559, 11574, 11584, 6640
12688, 12698, 12864, 7129
13799, 13830, 14123, 7672
15033, 14970, 15140, 8214
16300, 16016, 16279, 8820
17373, 17255, 17516, 9490
18574, 18544, 18603, 10127
19675, 19653, 19846, 10667
20740, 20767, 21116, 11364
21848, 21949, 22274, 12255
22920, 22981, 23438, 13100
23979, 24099, 24520, 13902
25069, 25230, 25654, 14788
26109, 26374, 26831, 15698
27263, 27395, 27949, 16507
Starting Round 13
1185, 1223, 1190, 794
2311, 2366, 2468, 1325
3365, 3540, 3736, 2094
4602, 4774, 4938, 2793
5794, 5858, 6171, 3332
6824, 7094, 7287, 4100
8043, 8304, 8479, 4711
9259, 9440, 9667, 5339
10451, 10624, 10923, 6000
11657, 11846, 12023, 6675
12903, 12976, 13250, 7250
14047, 14197, 14510, 8020
15174, 15369, 15666, 8790
16230, 16493, 16867, 9689
17361, 17608, 18048, 10475
18491, 18702, 19210, 11228
19558, 19875, 20373, 12115
20660, 21042, 21519, 12916
21933, 22214, 22582, 13413
23109, 23334, 23738, 14148
24193, 24600, 24850, 14770
25365, 25827, 25996, 15459
26490, 26942, 27315, 15996
27565, 28129, 28583, 16563
Starting Round 14
1147, 1143, 1288, 907
2274, 2417, 2445, 1859
3484, 3539, 3556, 2621
4646, 4691, 4769, 3736
5849, 5885, 5947, 4517
7083, 7022, 7054, 5426
8269, 8144, 8346, 6204
9399, 9364, 9530, 7100
10675, 10475, 10660, 7989
11839, 11594, 11900, 8750
12977, 12859, 13076, 9495
14211, 13997, 14258, 10339
15406, 15219, 15565, 11095
16559, 16467, 16860, 11905
17775, 17661, 18148, 12647
18900, 18866, 19430, 13223
20084, 20163, 20627, 13927
21301, 21417, 21807, 14826
22419, 22654, 23050, 15681
23575, 23941, 24289, 16411
24820, 25035, 25551, 17091
25976, 26225, 26871, 17644
27143, 27439, 28078, 18324
28365, 28709, 29270, 19014
Starting Round 15
1075, 1160, 1118, 894
2192, 2276, 2310, 1449
3302, 3383, 3552, 2101
4445, 4568, 4683, 3021
5628, 5692, 5889, 3828
6788, 6845, 6913, 4566
7925, 8001, 8102, 5124
9081, 9204, 9326, 5891
10193, 10300, 10571, 6530
11370, 11410, 11738, 7479
12539, 12562, 12908, 8130
13729, 13732, 14076, 8917
14916, 14876, 15192, 9544
16046, 15971, 16318, 10233
17201, 17094, 17463, 10926
18350, 18274, 18571, 11559
19428, 19478, 19751, 12191
20582, 20584, 20909, 12996
21835, 21685, 21986, 13743
23090, 22853, 23104, 14453
24261, 24143, 24235, 15099
25386, 25357, 25290, 15801
26522, 26470, 26515, 16365
27657, 27608, 27759, 17038
Starting Round 16
1254, 1170, 1200, 726
2522, 2318, 2370, 1494
3683, 3563, 3485, 2405
4758, 4872, 4652, 3304
5853, 6035, 5946, 3987
6958, 7195, 7271, 4802
8102, 8394, 8516, 5424
9312, 9677, 9683, 6105
10551, 10900, 10794, 6913
11753, 12140, 12065, 7673
12945, 13343, 13303, 8223
14098, 14527, 14605, 8931
15322, 15618, 15904, 10032
16568, 16884, 17076, 10743
17813, 18082, 18270, 11504
18931, 19283, 19517, 12212
19987, 20483, 20768, 12844
21200, 21637, 22029, 13485
22381, 22771, 23291, 14224
23503, 24001, 24462, 15080
24737, 25173, 25595, 15875
25882, 26351, 26850, 16674
26972, 27543, 27994, 17495
28184, 28683, 29072, 18264
Starting Round 17
1162, 1221, 998, 721
2329, 2310, 2171, 1399
3407, 3510, 3387, 2104
4545, 4629, 4504, 2821
5687, 5704, 5704, 3460
6733, 6933, 6923, 4133
7966, 8036, 7957, 4828
9129, 9084, 9121, 5380
10187, 10324, 10253, 6060
11255, 11541, 11463, 6639
12361, 12681, 12694, 7158
13442, 13812, 13960, 7973
14619, 14853, 15169, 8614
15787, 15985, 16215, 9319
16808, 17159, 17288, 9913
17904, 18337, 18370, 10697
18904, 19404, 19621, 11342
19982, 20416, 20868, 12129
21103, 21501, 22011, 13038
22210, 22560, 23085, 13777
23314, 23704, 24126, 14462
24356, 24830, 25310, 15009
25435, 25919, 26434, 15625
26473, 26999, 27547, 16317
Starting Round 18
1115, 1243, 1209, 702
2334, 2329, 2486, 1368
3421, 3506, 3774, 2138
4675, 4711, 4997, 2813
5932, 5820, 6182, 3686
7020, 7048, 7395, 4374
8212, 8334, 8497, 5064
9441, 9473, 9750, 5813
10585, 10653, 10989, 6476
11839, 11838, 12182, 7160
13104, 12909, 13413, 7956
14260, 14171, 14623, 8754
15471, 15307, 15840, 9593
16728, 16394, 17008, 10326
17832, 17643, 18238, 11285
18967, 18892, 19404, 12156
20179, 19927, 20676, 13108
21362, 20990, 21948, 14024
22630, 22017, 23100, 14865
23838, 23066, 24250, 15545
24895, 24301, 25341, 16301
25959, 25523, 26451, 16901
27030, 26589, 27756, 17598
28146, 27676, 29044, 18430
Starting Round 19
1206, 1122, 1117, 824
2462, 2253, 2319, 1707
3529, 3452, 3587, 2503
4726, 4667, 4733, 3341
5913, 5810, 6022, 4185
7033, 7030, 7287, 5021
8224, 8185, 8375, 5769
9439, 9283, 9590, 6622
10479, 10520, 10728, 7436
11656, 11741, 11887, 8189
12841, 12903, 13038, 8994
13994, 14061, 14270, 9783
15243, 15227, 15422, 10408
16422, 16383, 16586, 11152
17584, 17616, 17794, 11838
18714, 18812, 18987, 12567
19880, 19967, 20230, 13218
21079, 21085, 21508, 14024
22128, 22236, 22668, 14770
23278, 23373, 23842, 15495
24430, 24433, 25018, 16347
25600, 25557, 26166, 17290
26765, 26671, 27351, 18107
27907, 27844, 28456, 18868
Starting Round 20
1236, 1034, 1082, 913
2459, 2057, 2228, 1764
3441, 3259, 3337, 2617
4445, 4486, 4407, 3534
5509, 5485, 5628, 4231
6472, 6565, 6883, 5033
7709, 7657, 8071, 5689
8957, 8884, 9172, 6422
10156, 10122, 10264, 7200
11196, 11347, 11431, 7887
12300, 12609, 12690, 8496
13530, 13664, 13977, 9238
14746, 14700, 15148, 9829
15962, 15878, 16238, 10476
17162, 17114, 17303, 11166
18231, 18331, 18542, 11832
19307, 19445, 19781, 12293
20479, 20477, 21027, 12881
21503, 21481, 22174, 13779
22584, 22655, 23154, 14678
23727, 23705, 24202, 15321
24758, 24752, 25401, 16166
25754, 25864, 26465, 17005
26888, 26899, 27550, 17769
Starting Round 21
1179, 1089, 1194, 596
2400, 2204, 2258, 1309
3516, 3472, 3413, 1975
4593, 4723, 4589, 2790
5674, 5866, 5829, 3536
6860, 6989, 7074, 4297
8094, 8134, 8209, 5009
9290, 9246, 9347, 5774
10407, 10435, 10494, 6563
11538, 11673, 11566, 7188
12681, 12764, 12834, 7695
13749, 13882, 14120, 8417
15002, 15078, 15273, 9093
16224, 16224, 16486, 9847
17293, 17474, 17764, 10551
18445, 18712, 18861, 11192
19670, 19806, 20141, 11879
20778, 20928, 21413, 12411
21901, 22077, 22519, 13219
22940, 23194, 23775, 14113
24028, 24324, 25027, 14812
25226, 25498, 26119, 15550
26415, 26522, 27282, 16398
27463, 27696, 28370, 17231
Starting Round 22
1134, 1205, 1147, 723
2273, 2304, 2383, 1498
3452, 3486, 3511, 2350
4626, 4657, 4709, 3081
5749, 5821, 5868, 3803
6910, 6935, 7057, 4549
8104, 8072, 8242, 5201
9301, 9283, 9426, 6017
10393, 10492, 10577, 6622
11539, 11661, 11822, 7319
12607, 12857, 13048, 8107
13754, 13946, 14267, 8853
14920, 15090, 15434, 9557
16124, 16236, 16631, 10182
