Greedy, UCT, KthBestPick, Random,,,Greedy,UCT,KthBestPick,Random
2342,2276,2327,1392,,,238,227,204,189
2587,2526,2536,1505,,,245,250,209,113
2776,2771,2776,1643,,,189,245,240,138
3009,3045,3009,1795,,,233,274,233,152
3244,3232,3283,1961,,,235,187,274,166
3477,3472,3485,2122,,,233,240,202,161
3712,3707,3674,2288,,,235,235,189,166
3912,3940,3885,2443,,,200,233,211,155
4099,4211,4096,2646,,,187,271,211,203
4332,4414,4298,2870,,,233,203,202,224
4578,4569,4500,3035,,,246,155,202,165
4782,4793,4771,3195,,,204,224,271,160
5017,5036,4960,3375,,,235,243,189,180
5278,5238,5206,3504,,,261,202,246,129
5464,5506,5441,3582,,,186,268,235,78
Starting Round 14,,,,,,,,,
166,209,254,60,,,166,209,254,60
336,463,463,175,,,170,254,209,115
615,633,676,364,,,279,170,213,189
828,799,930,458,,,213,166,254,94
1011,1055,1089,687,,,183,256,159,229
1261,1252,1248,870,,,250,197,159,183
1431,1449,1512,1046,,,170,197,264,176
1601,1715,1688,1230,,,170,266,176,184
1849,1885,1897,1462,,,248,170,209,232
2062,2068,2126,1680,,,213,183,229,218
2245,2292,2315,1902,,,183,224,189,222
2429,2489,2474,2124,,,184,197,159,222
2618,2768,2690,2226,,,189,279,216,102
2807,3034,2931,2315,,,189,266,241,89
2998,3223,3201,2400,,,191,189,270,85
3248,3412,3428,2510,,,250,189,227,110
3518,3592,3583,2628,,,270,180,155,118
3709,3828,3742,2731,,,191,236,159,103
3927,4089,3990,2822,,,218,261,248,91
4140,4278,4269,2975,,,213,189,279,153
4329,4487,4525,3110,,,189,209,256,135
4590,4705,4734,3184,,,261,218,209,74
4846,4885,4903,3323,,,256,180,169,139
5035,5141,5084,3423,,,189,256,181,100
Starting Round 15,,,,,,,,,
245,272,243,141,,,245,272,243,141
490,483,515,266,,,245,211,272,125
701,728,766,370,,,211,245,251,104
973,973,977,495,,,272,245,211,125
1245,1235,1174,621,,,272,262,197,126
1488,1485,1419,703,,,243,250,245,82
1710,1736,1620,806,,,222,251,201,103
1929,1922,1892,830,,,219,186,272,24
2104,2167,2138,984,,,175,245,246,154
2343,2412,2324,1092,,,239,245,186,108
2589,2581,2569,1259,,,246,169,245,167
2775,2832,2814,1379,,,186,251,245,120
3020,3031,2971,1535,,,245,199,157,156
3243,3168,3217,1661,,,223,137,246,126
3406,3404,3354,1791,,,163,236,137,130
3652,3640,3517,2015,,,246,236,163,224
3887,3777,3714,2134,,,235,137,197,119
4045,3965,3911,2235,,,158,188,197,101
4291,4227,4091,2432,,,246,262,180,197
4543,4385,4247,2607,,,252,158,156,175
4722,4616,4509,2759,,,179,231,262,152
4921,4862,4704,2933,,,199,246,195,174
5183,5041,4911,3088,,,262,179,207,155
5324,5284,5162,3266,,,141,243,251,178
Starting Round 16,,,,,,,,,
240,226,260,196,,,240,226,260,196
452,486,499,317,,,212,260,239,121
712,716,722,505,,,260,230,223,188
936,954,984,728,,,224,238,262,223
1175,1214,1196,849,,,239,260,212,121
1435,1453,1436,1014,,,260,239,240,165
1675,1680,1673,1251,,,240,227,237,237
1907,1913,1896,1420,,,232,233,223,169
2165,2153,2123,1561,,,258,240,227,141
2389,2385,2357,1702,,,224,232,234,141
2616,2611,2597,1828,,,227,226,240,126
2842,2838,2837,1954,,,226,227,240,126
3072,3075,3102,2094,,,230,237,265,140
3304,3337,3364,2305,,,232,262,262,211
3566,3569,3634,2428,,,262,232,270,123
3836,3809,3896,2596,,,270,240,262,168
4090,4071,4114,2721,,,254,262,218,125
4352,4341,4354,2889,,,262,270,240,168
4579,4547,4575,2964,,,227,206,221,75
4805,4829,4781,3109,,,226,282,206,145
5025,5053,5033,3248,,,220,224,252,139
5208,5266,5254,3413,,,183,213,221,165
5460,5473,5493,3488,,,252,207,239,75
5680,5710,5730,3657,,,220,237,237,169
Starting Round 17,,,,,,,,,
253,205,258,137,,,253,205,258,137
506,482,481,282,,,253,277,223,145
783,727,729,379,,,277,245,248,97
1014,980,1005,454,,,231,253,276,75
1245,1256,1245,517,,,231,276,240,63
1522,1499,1485,666,,,277,243,240,149
1775,1742,1660,906,,,253,243,175,240
2002,1960,1903,1086,,,227,218,243,180
2218,2205,2106,1264,,,216,245,203,178
2449,2445,2335,1504,,,231,240,229,240
2680,2674,2563,1697,,,231,229,228,193
2839,2917,2816,1908,,,159,243,253,211
3092,3153,3045,2007,,,253,236,229,99
3337,3368,3319,2192,,,245,215,274,185
3579,3621,3562,2368,,,242,253,243,176
3837,3873,3777,2536,,,258,252,215,168
4085,4115,4030,2700,,,248,242,253,164
4257,4376,4283,2748,,,172,261,253,48
4468,4633,4432,2929,,,211,257,149,181
4663,4755,4674,3059,,,195,122,242,130
4824,4998,4951,3312,,,161,243,277,253
5082,5215,5137,3481,,,258,217,186,169
5334,5375,5348,3666,,,252,160,211,185
5509,5649,5582,3870,,,175,274,234,204
Starting Round 18,,,,,,,,,
233,231,285,185,,,233,231,285,185
491,516,497,414,,,258,285,212,229
749,774,745,616,,,258,258,248,202
997,1032,1030,857,,,248,258,285,241
1245,1317,1253,1061,,,248,285,223,204
1503,1580,1511,1235,,,258,263,258,174
1761,1843,1713,1422,,,258,263,202,187
2022,2084,1961,1671,,,261,241,248,249
2235,2345,2224,1920,,,213,261,263,249
2467,2596,2465,2102,,,232,251,241,182
2715,2809,2726,2299,,,248,213,261,197
2907,3053,2987,2497,,,192,244,261,198
3165,3341,3182,2635,,,258,288,195,138
3423,3561,3470,2866,,,258,220,288,231
3618,3822,3758,3008,,,195,261,288,142
3844,4083,3971,3191,,,226,261,213,183
4131,4324,4232,3311,,,287,241,261,120
4351,4612,4493,3506,,,220,288,261,195
4582,4864,4706,3681,,,231,252,213,175
4830,5125,4991,3897,,,248,261,285,216
5045,5388,5216,4026,,,215,263,225,129
5330,5636,5421,4178,,,285,248,205,152
5583,5869,5669,4287,,,253,233,248,109
5844,6119,5932,4455,,,261,250,263,168
Starting Round 19,,,,,,,,,
221,210,220,107,,,221,210,220,107
442,422,426,214,,,221,212,206,107
610,643,649,281,,,168,221,223,67
833,859,837,412,,,223,216,188,131
1043,1079,1058,519,,,210,220,221,107
1211,1337,1274,548,,,168,258,216,29
1429,1595,1463,603,,,218,258,189,55
1645,1762,1682,676,,,216,167,219,73
1779,1983,1905,770,,,134,221,223,94
2037,2199,2102,845,,,258,216,197,75
2242,2394,2320,1000,,,205,195,218,155
2400,2652,2541,1096,,,158,258,221,96
2646,2815,2727,1233,,,246,163,186,137
2892,2914,2930,1340,,,246,99,203,107
3055,3160,3142,1473,,,163,246,212,133
3275,3378,3286,1683,,,220,218,144,210
3478,3522,3527,1798,,,203,144,241,115
3625,3734,3768,1917,,,147,212,241,119
3848,3907,3890,2015,,,223,173,122,98
4055,4070,4110,2231,,,207,163,220,216
4199,4277,4291,2427,,,144,207,181,196
4387,4500,4411,2545,,,188,223,120,118
4568,4644,4618,2741,,,181,144,207,196
4712,4817,4854,2824,,,144,173,236,83
Starting Round 20,,,,,,,,,
224,214,239,215,,,224,214,239,215
448,411,448,324,,,224,197,209,109
633,668,679,430,,,185,257,231,106
833,925,896,554,,,200,257,217,124
1064,1145,1153,722,,,231,220,257,168
1284,1345,1369,808,,,220,200,216,86
1514,1598,1525,914,,,230,253,156,106
1738,1759,1778,1042,,,224,161,253,128
1919,1992,1985,1161,,,181,233,207,119
2118,2225,2200,1304,,,199,233,215,143
2314,2399,2457,1410,,,196,174,257,106
2529,2598,2714,1597,,,215,199,257,187
2753,2884,2929,1754,,,224,286,215,157
2967,3046,3215,1833,,,214,162,286,79
3169,3303,3475,1901,,,202,257,260,68
3429,3560,3677,1969,,,260,257,202,68
3649,3775,3934,2067,,,220,215,257,98
3851,4014,4191,2138,,,202,239,257,71
4058,4233,4406,2294,,,207,219,215,156
4272,4448,4633,2508,,,214,215,227,214
4487,4679,4860,2656,,,215,231,227,148
